#tileset
tileset2.bmp
32 24
tile306: ciel
tile307: ciel
tile308: mur
tile309: mur
tile310: ciel
tile311: ciel
tile312: ciel
tile313: ciel
tile314: mur
tile315: mur
tile316: mur
tile317: mur
tile318: mur
tile319: mur
tile320: ciel
tile321: ciel
tile322: ciel
tile323: ciel
tile324: ciel
tile325: ciel
tile326: ciel
tile327: ciel
tile328: ciel
tile329: ciel
tile330: ciel
tile331: mur
tile332: mur
tile333: mur
tile334: ciel
tile335: ciel
tile336: ciel
tile337: ciel
tile338: ciel
tile339: ciel
tile340: ciel
tile341: ciel
tile342: ciel
tile343: ciel
tile344: ciel
tile345: ciel
tile346: ciel
tile347: ciel
tile348: ciel
tile349: ciel
tile350: mur
tile351: mur
tile352: ciel
tile353: ciel
tile354: ciel
tile355: ciel
tile356: ciel
tile357: ciel
tile358: ciel
tile359: ciel
tile360: ciel
tile361: ciel
tile362: ciel
tile363: ciel
tile364: ciel
tile365: ciel
tile366: ciel
tile367: ciel
tile368: ciel
tile369: ciel
tile370: ciel
tile371: ciel
tile372: ciel
tile373: ciel
tile374: ciel
tile375: ciel
tile376: ciel
tile377: ciel
tile378: ciel
tile379: ciel
tile380: ciel
tile381: ciel
tile382: mur
tile383: mur
tile384: ciel
tile385: ciel
tile386: ciel
tile387: ciel
tile388: ciel
tile389: ciel
tile390: ciel
tile391: ciel
tile392: ciel
tile393: ciel
tile394: ciel
tile395: ciel
tile396: ciel
tile397: ciel
tile398: ciel
tile399: ciel
tile400: ciel
tile401: ciel
tile402: ciel
tile403: ciel
tile404: ciel
tile405: ciel
tile406: ciel
tile407: ciel
tile408: ciel
tile409: ciel
tile410: ciel
tile411: ciel
tile412: mur
tile413: ciel
tile414: mur
tile415: mur
tile416: ciel
tile417: ciel
tile418: ciel
tile419: ciel
tile420: ciel
tile421: ciel
tile422: ciel
tile423: ciel
tile424: ciel
tile425: ciel
tile426: ciel
tile427: ciel
tile428: ciel
tile429: ciel
tile430: ciel
tile431: ciel
tile432: ciel
tile433: ciel
tile434: ciel
tile435: ciel
tile436: ciel
tile437: ciel
tile438: ciel
tile439: ciel
tile440: ciel
tile441: ciel
tile442: ciel
tile443: ciel
tile444: ciel
tile445: ciel
tile446: mur
tile447: mur
tile448: ciel
tile449: ciel
tile450: ciel
tile451: ciel
tile452: ciel
tile453: ciel
tile454: ciel
tile455: ciel
tile456: ciel
tile457: ciel
tile458: ciel
tile459: ciel
tile460: ciel
tile461: ciel
tile462: ciel
tile463: ciel
tile464: ciel
tile465: ciel
tile466: ciel
tile467: ciel
tile468: ciel
tile469: ciel
tile470: ciel
tile471: ciel
tile472: ciel
tile473: ciel
tile474: ciel
tile475: ciel
tile476: ciel
tile477: ciel
tile478: mur
tile479: mur
tile480: ciel
tile481: ciel
tile482: ciel
tile483: ciel
tile484: ciel
tile485: ciel
tile486: ciel
tile487: ciel
tile488: ciel
tile489: ciel
tile490: ciel
tile491: ciel
tile492: ciel
tile493: ciel
tile494: ciel
tile495: ciel
tile496: ciel
tile497: ciel
tile498: ciel
tile499: ciel
tile500: ciel
tile501: ciel
tile502: ciel
tile503: ciel
tile504: ciel
tile505: ciel
tile506: ciel
tile507: ciel
tile508: ciel
tile509: ciel
tile510: mur
tile511: mur
tile512: ciel
tile513: ciel
tile514: ciel
tile515: ciel
tile516: ciel
tile517: ciel
tile518: ciel
tile519: ciel
tile520: ciel
tile521: mur
tile522: mur
tile523: mur
tile524: mur
tile525: mur
tile526: mur
tile527: mur
tile528: ciel
tile529: ciel
tile530: mur
tile531: mur
tile532: mur
tile533: mur
tile534: mur
tile535: mur
tile536: mur
tile537: ciel
tile538: ciel
tile539: ciel
tile540: ciel
tile541: ciel
tile542: mur
tile543: mur
tile544: mur
tile545: mur
tile546: mur
tile547: mur
tile548: mur
tile549: mur
tile550: ciel
tile551: ciel
tile552: mur
tile553: mur
tile554: mur
tile555: ciel
tile556: ciel
tile557: ciel
tile558: ciel
tile559: ciel
tile560: ciel
tile561: ciel
tile562: ciel
tile563: ciel
tile564: ciel
tile565: ciel
tile566: ciel
tile567: ciel
tile568: ciel
tile569: ciel
tile570: ciel
tile571: ciel
tile572: ciel
tile573: mur
tile574: ciel
tile575: ciel
tile576: mur
tile577: ciel
tile578: mur
tile579: ciel
tile580: ciel
tile581: ciel
tile582: ciel
tile583: ciel
tile584: ciel
tile585: mur
tile586: mur
tile587: ciel
tile588: ciel
tile589: ciel
tile590: ciel
tile591: mur
tile592: ciel
tile593: ciel
tile594: ciel
tile595: ciel
tile596: ciel
tile597: ciel
tile598: ciel
tile599: ciel
tile600: ciel
tile601: ciel
tile602: ciel
tile603: ciel
tile604: ciel
tile605: ciel
tile606: ciel
tile607: ciel
tile608: mur
tile609: ciel
tile610: ciel
tile611: ciel
tile612: ciel
tile613: ciel
tile614: ciel
tile615: ciel
tile616: ciel
tile617: mur
tile618: ciel
tile619: ciel
tile620: ciel
tile621: mur
tile622: ciel
tile623: ciel
tile624: ciel
tile625: ciel
tile626: ciel
tile627: ciel
tile628: ciel
tile629: ciel
tile630: ciel
tile631: ciel
tile632: ciel
tile633: ciel
tile634: ciel
tile635: ciel
tile636: ciel
tile637: ciel
tile638: ciel
tile639: ciel
tile640: mur
tile641: ciel
tile642: ciel
tile643: ciel
tile644: ciel
tile645: ciel
tile646: ciel
tile647: ciel
tile648: ciel
tile649: ciel
tile650: ciel
tile651: ciel
tile652: ciel
tile653: mur
tile654: ciel
tile655: ciel
tile656: ciel
tile657: ciel
tile658: ciel
tile659: ciel
tile660: ciel
tile661: ciel
tile662: ciel
tile663: ciel
tile664: ciel
tile665: ciel
tile666: ciel
tile667: ciel
tile668: ciel
tile669: ciel
tile670: ciel
tile671: ciel
tile672: ciel
tile673: ciel
tile674: ciel
tile675: ciel
tile676: ciel
tile677: ciel
tile678: ciel
tile679: ciel
tile680: ciel
tile681: ciel
tile682: ciel
tile683: ciel
tile684: ciel
tile685: ciel
tile686: ciel
tile687: ciel
tile688: ciel
tile689: ciel
tile690: ciel
tile691: ciel
tile692: ciel
tile693: ciel
tile694: ciel
tile695: ciel
tile696: ciel
tile697: ciel
tile698: ciel
tile699: ciel
tile700: ciel
tile701: ciel
tile702: mur
tile703: ciel
tile704: ciel
tile705: ciel
tile706: ciel
tile707: ciel
tile708: ciel
tile709: ciel
tile710: ciel
tile711: ciel
tile712: ciel
tile713: ciel
tile714: ciel
tile715: ciel
tile716: ciel
tile717: ciel
tile718: ciel
tile719: ciel
tile720: ciel
tile721: ciel
tile722: ciel
tile723: ciel
tile724: ciel
tile725: ciel
tile726: ciel
tile727: ciel
tile728: ciel
tile729: ciel
tile730: ciel
tile731: mur
tile732: mur
tile733: ciel
tile734: ciel
tile735: ciel
tile736: ciel
tile737: ciel
tile738: ciel
tile739: ciel
tile740: ciel
tile741: ciel
tile742: ciel
tile743: ciel
tile744: ciel
tile745: ciel
tile746: ciel
tile747: ciel
tile748: ciel
tile749: ciel
tile750: ciel
tile751: ciel
tile752: ciel
tile753: ciel
tile754: ciel
tile755: ciel
tile756: ciel
tile757: ciel
tile758: ciel
tile759: ciel
tile760: ciel
tile761: ciel
tile762: ciel
tile763: ciel
tile764: ciel
tile765: ciel
tile766: ciel
tile767: ciel
#level
84 144
83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	
83 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	169 	169 	551 	2 	3 	551 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	15 	15 	15 	15 	15 	67 	67 	8 	
83 	5 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	5 	5 	5 	5 	5 	5 	5 	5 	169 	169 	551 	2 	3 	551 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	67 	67 	67 	67 	67 	67 	67 	67 	67 	12 	67 	44 	67 	67 	67 	67 	13 	67 	67 	67 	15 	15 	15 	15 	15 	67 	67 	8 	
83 	5 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	5 	5 	5 	5 	5 	5 	5 	169 	169 	551 	2 	3 	551 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	247 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	15 	15 	15 	15 	15 	67 	67 	8 	
83 	5 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	5 	5 	5 	5 	5 	5 	5 	32 	551 	2 	3 	551 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	198 	199 	67 	67 	67 	67 	67 	67 	67 	67 	44 	67 	67 	67 	67 	226 	227 	67 	67 	67 	67 	67 	44 	15 	15 	15 	15 	15 	67 	67 	8 	
83 	5 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	5 	5 	5 	5 	5 	5 	5 	5 	32 	551 	2 	3 	551 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	214 	215 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	44 	242 	243 	28 	67 	67 	67 	67 	44 	67 	15 	15 	15 	67 	67 	67 	8 	
83 	5 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	231 	5 	5 	5 	5 	81 	5 	5 	5 	5 	32 	551 	2 	3 	551 	32 	277 	273 	273 	273 	273 	277 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	246 	29 	67 	67 	67 	67 	67 	67 	67 	67 	14 	67 	67 	67 	67 	8 	
83 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	81 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	32 	551 	2 	3 	551 	583 	510 	522 	522 	522 	522 	319 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	44 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	288 	5 	5 	32 	32 	32 	32 	32 	32 	32 	5 	5 	81 	5 	5 	5 	5 	5 	5 	5 	5 	32 	551 	2 	3 	551 	583 	414 	522 	522 	522 	522 	319 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	44 	67 	67 	67 	67 	152 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	320 	5 	5 	32 	32 	32 	32 	555 	553 	556 	32 	32 	32 	32 	32 	32 	32 	32 	32 	32 	32 	32 	551 	2 	3 	551 	583 	414 	522 	522 	522 	522 	319 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	67 	67 	67 	67 	67 	67 	67 	67 	67 	58 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	32 	32 	32 	32 	32 	525 	525 	525 	553 	37 	553 	32 	32 	653 	653 	653 	521 	521 	521 	521 	521 	32 	32 	551 	2 	3 	551 	583 	414 	522 	522 	522 	522 	319 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	246 	163 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	231 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	32 	173 	170 	170 	171 	525 	554 	525 	553 	37 	553 	526 	526 	653 	653 	653 	521 	623 	623 	623 	521 	260 	260 	551 	2 	3 	551 	32 	301 	308 	308 	308 	308 	301 	5 	5 	288 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	239 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	56 	67 	67 	67 	67 	67 	67 	67 	8 	67 	67 	67 	67 	8 	
83 	32 	173 	264 	264 	171 	525 	525 	525 	587 	557 	588 	526 	526 	653 	65 	653 	521 	521 	256 	521 	521 	258 	260 	551 	2 	3 	551 	32 	5 	5 	5 	5 	5 	5 	5 	5 	320 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	231 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	231 	67 	67 	67 	8 	
83 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	2 	3 	551 	32 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	231 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	22 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	555 	556 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	1 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	38 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	587 	588 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	1 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	231 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	28 	67 	67 	67 	8 	
83 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	32 	551 	551 	32 	551 	551 	551 	551 	551 	551 	551 	2 	3 	551 	274 	274 	274 	274 	591 	591 	591 	591 	513 	32 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	551 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	13 	67 	67 	67 	67 	67 	67 	67 	67 	67 	11 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	83 	522 	522 	522 	522 	97 	98 	522 	522 	522 	522 	552 	552 	552 	551 	551 	32 	5 	5 	32 	173 	173 	173 	551 	2 	3 	551 	304 	304 	304 	304 	591 	591 	591 	591 	513 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	246 	163 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	27 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	83 	522 	545 	546 	546 	546 	546 	546 	547 	548 	522 	552 	552 	552 	551 	551 	32 	5 	5 	32 	173 	173 	173 	551 	2 	3 	551 	32 	32 	32 	32 	514 	514 	514 	514 	514 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	522 	522 	522 	522 	522 	522 	522 	522 	522 	522 	82 	82 	32 	551 	551 	32 	5 	5 	32 	173 	173 	173 	551 	2 	3 	551 	81 	81 	81 	32 	32 	32 	32 	32 	32 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	231 	231 	246 	67 	67 	67 	67 	67 	67 	231 	67 	67 	67 	67 	67 	67 	67 	67 	67 	194 	195 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	209 	67 	67 	8 	
83 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	32 	551 	551 	32 	5 	5 	32 	32 	526 	526 	551 	2 	3 	551 	554 	554 	554 	554 	554 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	231 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	210 	211 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	5 	5 	5 	5 	5 	5 	5 	32 	551 	551 	551 	551 	551 	551 	551 	5 	5 	5 	5 	32 	526 	526 	551 	2 	3 	551 	554 	554 	554 	554 	554 	32 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	555 	174 	174 	174 	174 	174 	556 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	32 	524 	524 	551 	2 	3 	551 	586 	586 	554 	554 	554 	32 	5 	5 	545 	546 	546 	546 	546 	546 	546 	546 	548 	5 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	186 	186 	186 	186 	186 	186 	175 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	32 	524 	524 	551 	2 	3 	551 	586 	586 	554 	554 	554 	32 	5 	544 	265 	265 	265 	265 	265 	265 	265 	265 	265 	544 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	30 	67 	67 	67 	8 	
83 	5 	186 	522 	522 	186 	522 	522 	175 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	32 	32 	32 	551 	2 	3 	551 	554 	554 	554 	554 	554 	32 	5 	576 	265 	702 	112 	112 	112 	112 	112 	112 	265 	576 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	186 	522 	522 	186 	522 	522 	175 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	5 	5 	5 	551 	2 	3 	551 	554 	554 	554 	554 	554 	32 	5 	608 	265 	112 	112 	112 	112 	112 	112 	112 	265 	576 	5 	5 	5 	5 	246 	163 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	13 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	186 	522 	522 	186 	522 	522 	175 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	5 	5 	5 	551 	2 	3 	551 	32 	32 	32 	32 	32 	32 	5 	608 	265 	112 	112 	112 	112 	112 	112 	112 	265 	576 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	246 	28 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	186 	522 	522 	186 	522 	522 	175 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	5 	5 	5 	551 	2 	3 	551 	175 	175 	175 	32 	5 	5 	5 	640 	265 	265 	265 	265 	265 	265 	265 	265 	265 	640 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	186 	522 	522 	522 	522 	522 	175 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	5 	5 	5 	551 	2 	3 	551 	175 	175 	175 	32 	5 	5 	5 	5 	545 	546 	546 	546 	265 	546 	546 	546 	548 	5 	5 	5 	5 	5 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	231 	67 	67 	67 	67 	67 	67 	56 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
83 	5 	186 	186 	186 	186 	186 	186 	175 	32 	551 	512 	551 	551 	514 	551 	551 	5 	5 	5 	5 	5 	5 	5 	551 	2 	3 	551 	175 	175 	175 	32 	5 	5 	5 	5 	5 	5 	5 	5 	310 	5 	5 	5 	5 	5 	5 	5 	5 	231 	246 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	208 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	42 	67 	8 	
83 	5 	587 	184 	184 	184 	184 	184 	588 	32 	551 	551 	551 	551 	551 	551 	551 	5 	5 	5 	5 	5 	5 	5 	551 	2 	3 	551 	175 	175 	175 	32 	5 	5 	5 	5 	5 	5 	83 	5 	310 	5 	83 	5 	5 	5 	5 	5 	5 	231 	246 	231 	231 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	67 	8 	
